# GOES18_ABI RSR
# QV 2025-06-04 from ABI-16-046_FM3_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# VSWIR bands
# GOES18_ABI Band CH047
# -------------------
0.466135 0.908086
0.466157 0.908711
0.466179 0.909346
0.4662 0.909989
0.466222 0.910638
0.466244 0.91129
0.466266 0.911943
0.466287 0.912595
0.466309 0.913243
0.466331 0.913885
0.466353 0.914519
0.466374 0.915142
0.466396 0.915752
0.466418 0.916346
0.46644 0.916923
0.466461 0.91748
0.466483 0.918015
0.466505 0.918525
0.466527 0.919023
0.466548 0.919513
0.46657 0.919997
0.466592 0.920473
0.466614 0.920943
0.466636 0.921406
0.466657 0.921863
0.466679 0.922314
0.466701 0.922758
0.466723 0.923197
0.466744 0.923629
0.466766 0.924057
0.466788 0.924478
0.46681 0.924895
0.466832 0.925306
0.466853 0.925712
0.466875 0.926113
0.466897 0.92651
0.466919 0.926902
0.466941 0.92729
0.466962 0.927674
0.466984 0.928053
0.467006 0.928429
0.467028 0.928801
0.46705 0.929169
0.467071 0.929534
0.467093 0.929894
0.467115 0.93025
0.467137 0.930602
0.467159 0.93095
0.467181 0.931292
0.467202 0.93163
0.467224 0.931963
0.467246 0.932291
0.467268 0.932614
0.46729 0.932931
0.467312 0.933242
0.467333 0.933548
0.467355 0.933847
0.467377 0.934141
0.467399 0.934428
0.467421 0.934709
0.467443 0.934985
0.467464 0.935256
0.467486 0.935522
0.467508 0.935783
0.46753 0.93604
0.467552 0.936293
0.467574 0.936543
0.467596 0.936789
0.467617 0.937032
0.467639 0.937273
0.467661 0.937511
0.467683 0.937746
0.467705 0.93798
0.467727 0.938212
0.467749 0.938443
0.467771 0.938673
0.467792 0.938902
0.467814 0.93913
0.467836 0.939358
0.467858 0.939587
0.46788 0.939815
0.467902 0.940045
0.467924 0.940275
0.467946 0.940507
0.467968 0.94074
0.46799 0.940975
0.468011 0.941212
0.468033 0.941449
0.468055 0.941687
0.468077 0.941925
0.468099 0.942163
0.468121 0.9424
0.468143 0.942636
0.468165 0.942872
0.468187 0.943105
0.468209 0.943337
0.468231 0.943566
0.468252 0.943794
0.468274 0.944018
0.468296 0.944239
0.468318 0.944458
0.46834 0.944674
0.468362 0.944889
0.468384 0.945101
0.468406 0.945311
0.468428 0.94552
0.46845 0.945727
0.468472 0.945933
0.468494 0.946137
0.468516 0.946341
0.468538 0.946543
0.46856 0.946744
0.468582 0.946944
0.468604 0.947144
0.468626 0.947343
0.468647 0.947542
0.468669 0.94774
0.468691 0.947938
0.468713 0.948136
0.468735 0.948335
0.468757 0.948533
0.468779 0.948732
0.468801 0.948931
0.468823 0.949131
0.468845 0.949331
0.468867 0.949532
0.468889 0.949735
0.468911 0.949938
0.468933 0.950143
0.468955 0.950349
0.468977 0.950556
0.468999 0.950765
0.469021 0.950975
0.469043 0.951186
0.469065 0.951397
0.469087 0.951609
0.469109 0.951822
0.469131 0.952037
0.469153 0.952253
0.469175 0.952472
0.469197 0.952692
0.469219 0.952914
0.469241 0.953137
0.469263 0.953361
0.469285 0.953586
0.469307 0.953812
0.469329 0.954039
0.469351 0.954267
0.469373 0.954496
0.469395 0.954725
0.469417 0.954956
0.469439 0.955187
0.469462 0.955418
0.469484 0.955651
0.469506 0.955884
0.469528 0.956118
0.46955 0.956352
0.469572 0.956587
0.469594 0.956823
0.469616 0.957059
0.469638 0.957295
0.46966 0.957532
0.469682 0.957769
0.469704 0.958007
0.469726 0.958245
0.469748 0.958483
0.46977 0.958722
0.469792 0.958961
0.469814 0.9592
0.469836 0.959439
0.469859 0.959678
0.469881 0.959918
0.469903 0.960157
0.469925 0.960397
0.469947 0.960637
0.469969 0.960876
0.469991 0.961116
0.470013 0.961354
0.470035 0.96159
0.470057 0.961828
0.470079 0.962073
0.470102 0.962329
0.470124 0.962597
0.470146 0.962876
0.470168 0.963164
0.47019 0.963461
0.470212 0.963766
0.470234 0.964079
0.470256 0.964399
0.470278 0.964725
0.470301 0.965057
0.470323 0.965394
0.470345 0.965735
0.470367 0.96608
0.470389 0.966428
0.470411 0.966778
0.470433 0.967131
0.470455 0.967484
0.470478 0.967838
0.4705 0.968193
0.470522 0.968546
0.470544 0.968898
0.470566 0.969248
0.470588 0.969596
0.47061 0.96994
0.470633 0.97028
0.470655 0.970616
0.470677 0.970946
0.470699 0.971271
0.470721 0.971589
0.470743 0.9719
