#
#  GF1/WFV4 RSR
#
#  from Rugang Tang Excel files
#
#  Tabulated QV 2019-03-05
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
554	0.00034229
555	0.00034484
556	0.00039037
557	0.00037059
558	0.00037022
559	0.00040017
560	0.00042432
561	0.00039698
562	0.00042931
563	0.00042411
564	0.00043445
565	0.00040699
566	0.00045453
567	0.00046868
568	0.00048654
569	0.00045971
570	0.00045713
571	0.00045165
572	0.0004863
573	0.00048307
574	0.00053661
575	0.00058914
576	0.00063641
577	0.00067297
578	0.00072319
579	0.00079417
580	0.00083149
581	0.00091664
582	0.0010028
583	0.001106
584	0.001183
585	0.0013279
586	0.0014599
587	0.0016957
588	0.0019211
589	0.002171
590	0.0025371
591	0.0028347
592	0.0033075
593	0.00376
594	0.0044597
595	0.0051192
596	0.0062157
597	0.0070861
598	0.008545
599	0.0099495
600	0.012285
601	0.014334
602	0.017576
603	0.020715
604	0.025666
605	0.03042
606	0.038134
607	0.044774
608	0.056662
609	0.067225
610	0.08454
611	0.10035
612	0.12715
613	0.145500483
614	0.176067931
615	0.200662418
616	0.239155233
617	0.266878809
618	0.310847252
619	0.339829556
620	0.382466451
621	0.40896187
622	0.445193354
623	0.4642143
624	0.49072212
625	0.586784
626	0.698605101
627	0.802609114
628	0.84698
629	0.86647
630	0.89075
631	0.90288
632	0.91773
633	0.92584
634	0.93523
635	0.93902
636	0.94239
637	0.94529
638	0.94812
639	0.94923
640	0.95041
641	0.95042
642	0.95036
643	0.94976
644	0.95116
645	0.95093
646	0.95049
647	0.95016
648	0.95008
649	0.94884
650	0.94968
651	0.94917
652	0.95102
653	0.94988
654	0.95068
655	0.95191
656	0.95229
657	0.9534
658	0.95338
659	0.95212
660	0.9527
661	0.95443
662	0.95396
663	0.95427
664	0.95497
665	0.95476
666	0.95468
667	0.95552
668	0.95531
669	0.95449
670	0.95501
671	0.95431
672	0.95357
673	0.95408
674	0.95378
675	0.9545
676	0.95375
677	0.95356
678	0.95487
679	0.95354
680	0.9533
681	0.95417
682	0.95658
683	0.95658
684	0.95969
685	0.96217
686	0.96587
687	0.96996
688	0.97192
689	0.97564
690	0.98015
691	0.98437
692	0.98837
693	0.99202
694	0.99675
695	0.99945
696	1
697	0.99726
698	0.98739
699	0.97415
700	0.9474
701	0.914586872
702	0.77540026
703	0.65196
704	0.516063626
705	0.4907644
706	0.440612395
707	0.404501353
708	0.347439371
709	0.292719925
710	0.259094912
711	0.215052137
712	0.188437362
713	0.154394648
714	0.134703246
715	0.10962
716	0.093537
717	0.075487
718	0.065014
719	0.053104
720	0.046257
721	0.038106
722	0.033287
723	0.027788
724	0.023297
725	0.020604
726	0.017635
727	0.01578
728	0.013391
729	0.012265
730	0.01061
731	0.0095825
732	0.0085343
733	0.0078714
734	0.0069912
735	0.0064681
736	0.0057825
737	0.0052858
738	0.0049565
739	0.0046004
740	0.0043178
741	0.0040475
742	0.0037732
743	0.0034114
744	0.0033742
745	0.003146
746	0.0030011
747	0.0027655
748	0.002713
749	0.0027138
750	0.0025272
751	0.0024836
752	0.0023691
753	0.002355
754	0.0023291
755	0.002317
756	0.0023675
757	0.0021743
758	0.0021952
759	0.0022253
760	0.0022566
761	0.0021095
762	0.0021261
763	0.0021274
764	0.0021306
765	0.0021174
766	0.0020881
767	0.00206
768	0.0021526
769	0.0020624
770	0.002155
771	0.0022025
772	0.0022658
773	0.0020824
774	0.0022066
775	0.0023587
776	0.0023721
777	0.0022532
778	0.0024511
779	0.0024221
780	0.002497
781	0.0028742
782	0.0027095
783	0.0025105
784	0.0027647
785	0.0027208
786	0.0028227
787	0.0027926
788	0.0030832
